TempoAlocacao,Tempo,Particionamento,Nucleos,Pontos
0.036393,0.039769,LinhaRoundRobin,16 sparks,66049
0.012584,0.030037,LinhaRoundRobin,16 sparks,66049
0.033878,0.036564,LinhaRoundRobin,16 sparks,66049
0.018788,0.032419,LinhaRoundRobin,16 sparks,66049
0.022561,0.032211,LinhaRoundRobin,16 sparks,66049
0.028831,0.039236,LinhaRoundRobin,16 sparks,66049
0.02209,0.030199,LinhaRoundRobin,16 sparks,66049
0.008333,0.073485,LinhaRoundRobin,16 sparks,66049
0.030868,0.038718,LinhaRoundRobin,16 sparks,66049
0.035056,0.038299,LinhaRoundRobin,16 sparks,66049
0.022711,0.03251,LinhaRoundRobin,16 sparks,66049
0.030412,0.041408,LinhaRoundRobin,16 sparks,66049
0.027352,0.05707,LinhaRoundRobin,16 sparks,66049
0.025808,0.032235,LinhaRoundRobin,16 sparks,66049
0.015734,0.02949,LinhaRoundRobin,16 sparks,66049
0.037949,0.378234,LinhaRoundRobin,2 sparks,263169
0.032191,0.357343,LinhaRoundRobin,2 sparks,263169
0.038479,0.376611,LinhaRoundRobin,2 sparks,263169
0.032414,0.357209,LinhaRoundRobin,2 sparks,263169
0.038474,0.375274,LinhaRoundRobin,2 sparks,263169
0.037886,0.377864,LinhaRoundRobin,2 sparks,263169
0.037722,0.375646,LinhaRoundRobin,2 sparks,263169
0.033125,0.368326,LinhaRoundRobin,2 sparks,263169
0.037829,0.42413,LinhaRoundRobin,2 sparks,263169
0.037928,0.377004,LinhaRoundRobin,2 sparks,263169
0.03825,0.376227,LinhaRoundRobin,2 sparks,263169
0.038349,0.375118,LinhaRoundRobin,2 sparks,263169
0.037901,0.376583,LinhaRoundRobin,2 sparks,263169
0.038493,0.37471,LinhaRoundRobin,2 sparks,263169
0.038377,0.426123,LinhaRoundRobin,2 sparks,263169
0.037817,0.376603,LinhaRoundRobin,2 sparks,263169
0.038077,0.358063,LinhaRoundRobin,2 sparks,263169
0.032245,0.358058,LinhaRoundRobin,2 sparks,263169
0.032621,0.363176,LinhaRoundRobin,2 sparks,263169
0.037487,0.430712,LinhaRoundRobin,2 sparks,263169
